stockName,MarketCap,P/E,ForP/E,PEG,P/S,P/B,P/Cash,EPS,Own,ROA,ROE,Ratio,D/E,Margin,20SMA,52wkH/L,RSI,Gap,Price,Change,Volume
A,14337.71,13.24,12.48,1.7,2.08,2.68,5.85,3.12,0,0.11,0.22,2.55,0.44,0.16,-0.02,1.3,44.29,-0.01,41.3,-0.03,5283798
AA,8843.94,39.38,11.33,5.55,0.38,0.66,5.69,0.21,0,0.01,0.02,1.2,0.67,0.01,0,1.25,49.35,0,8.27,-0.01,15138264
AAON,692.37,25.46,18.47,2.55,2.28,5.02,76,1.11,0.21,0.15,0.21,2.31,0,0.09,0.03,1.64,63.41,0,28.26,-0.01,81790
AAP,6049.64,15.89,13.6,1.42,0.97,5.03,10.11,5.22,0.01,0.09,0.38,1.24,0.5,0.06,0.02,1.53,59.96,0,82.94,0,699774
AAPL,391609.46,9.96,9.42,0.48,2.32,2.89,10.01,41.89,0,0.23,0.33,1.78,0,0.23,-0.01,1.81,47.07,0,417.2,0.02,27266372
AAWW,984.92,7.7,6.88,0.91,0.6,0.78,2.35,4.89,0.01,0.05,0.11,1.93,1.02,0.08,-0.04,1.54,26.8,-0.01,37.65,-0.03,283511
ABAX,913.61,36.26,31.08,2.42,5.11,5.5,13.04,1.14,0.05,0.14,0.16,5.74,0,0.14,-0.11,1.73,31.23,-0.06,41.34,-0.07,403193
ABCO,1655.44,78.58,34.67,4.25,3.84,6.22,16.8,0.6,0,0.04,0.09,1.02,0,0.06,-0.06,1.39,33.52,0,47.15,0,153053
ABG,1231.53,13.91,11.59,0.58,0.26,3.07,12315.27,2.84,0.02,0.06,0.23,1.33,2.33,0.02,0.1,1.92,67.23,0,39.51,-0.01,307946
ABM,1197.93,18.42,14.61,18.42,0.27,1.39,32.88,1.19,0.02,0.03,0.08,1.79,0.49,0.01,0.03,1.34,58.74,0,21.92,0.01,371449
ABMD,692.54,54.42,39.04,2.79,4.56,5.15,8.08,0.33,0.02,0.09,0.11,5.24,0,0.09,0.03,2.22,57.7,0,17.96,0,169128
ABTL,37.57,28.27,10.1,1.13,0.56,1.46,2.46,0.15,0,0.03,0.05,2.76,0.19,0.02,0,1.38,51.74,0.03,4.24,0.02,34521
ACAT,580.18,15.89,13.46,1.06,0.88,3.23,6,2.77,0.02,0.13,0.24,2.12,0,0.06,0.05,1.49,64.82,0,44.02,0,135402
ACCO,739.02,6.45,5.81,0.63,0.42,1.15,14.78,1.01,0.01,0.06,0.41,2.04,1.68,0.07,0,2.29,44.14,-0.13,6.51,-0.05,2271479
ACET,280.95,14.9,10.38,0.68,0.61,1.57,10.45,0.69,0.05,0.06,0.11,2.68,0.27,0.04,-0.03,1.5,41.85,0,10.28,-0.03,72835
ACHC,1599,60.08,25.27,2.16,3.92,3.67,32.37,0.53,0.06,0.03,0.08,1.96,1.09,0.05,0.06,2.18,69.73,0,31.84,0,389299
ACIW,1831.66,38.37,15.03,2.19,2.75,3.43,24,1.21,0.01,0.05,0.11,1.34,0.7,0.07,0.01,1.42,50.54,0,46.43,0,68904
ACMP,4303.73,35.49,26.27,4.73,7.07,1.87,66.22,1.14,0.01,0.03,0.06,0.83,0.68,0.29,0,1.96,53.26,0,40.46,-0.01,285821
ACN,54593.98,17.03,16.84,1.5,1.81,9.84,9.69,4.62,0,0.21,0.62,1.63,0,0.11,0.03,1.48,61.22,-0.01,78.66,-0.01,2679892
ACO,989.37,15.24,12.56,1.22,1,2.14,24.73,2.01,0.07,0.07,0.15,3.75,0.54,0.06,0.05,1.38,62.33,0,30.64,0.02,277417
ACOR,1574.15,10.16,37.33,0.51,5.15,4.01,6.73,3.82,0.02,0.33,0.52,3.37,0.01,0.51,0.11,1.94,67,-0.01,38.82,0,331024
ACT,12895.09,134.59,11.1,9.55,2.18,3.36,39.31,0.75,0.01,0.01,0.03,1.43,1.68,0.02,0.04,1.47,71.73,0,100.94,0.02,1418397
ACTG,1161.36,78.67,16.5,3.93,5.08,1.84,3.55,0.3,0.03,0.02,0.02,7.02,0,0.06,-0.15,2.14,34.67,0,23.6,-0.01,516590
ACXM,1430.09,25.16,23.91,1.68,1.29,2.34,7.68,0.77,0.01,0.05,0.1,2.07,0.43,0.05,-0.01,1.62,50.19,-0.01,19.37,-0.01,174484
ADBE,22542.13,31.63,25.37,3.01,5.16,3.31,6.16,1.42,0,0.07,0.11,3.46,0.23,0.16,0.01,1.54,61.71,0,44.91,0,2300068
ADI,13248.93,20.72,16.22,2.27,4.95,3.06,3.32,2.09,0,0.12,0.16,9.47,0.18,0.24,-0.02,1.41,44.02,0,43.3,-0.01,2081117
ADM,22049.7,16.09,11.19,1.89,0.24,1.17,9.63,2.08,0,0.03,0.07,1.75,0.5,0.02,0.02,1.41,59.41,0.01,33.47,0.01,5759945
ADP,32297.48,23.87,20.94,2.46,2.95,5.05,22.51,2.79,0,0.04,0.22,1.08,0,0.12,0.02,1.35,63.75,0,66.59,0,862137
ADS,8322.8,25.06,14.07,1.72,2.19,13.7,10.89,6.66,0.01,0.04,0.97,2.34,11.5,0.11,0.05,1.4,70.61,0,166.89,0,298673
ADSK,8349.98,34.87,15.17,2.35,3.61,4.09,4.27,1.07,0,0.07,0.13,2.45,0.36,0.11,-0.02,1.5,47.01,0,37.31,-0.01,1862567
ADT,10197.22,25.68,21.52,2.31,3.15,1.94,26.69,1.71,0,0.04,0.08,1.05,0.48,0.13,-0.02,1.43,40.06,0,43.91,0,2671991
ADTN,1260.13,31.14,22.58,2.34,2,1.9,5.08,0.66,0,0.05,0.06,4.11,0.07,0.07,0,2.04,47.05,0,20.55,-0.02,982438
ADUS,134.15,20.9,12.98,1.39,0.48,1.41,78.45,0.59,0.01,0.04,0.07,2.12,0.25,0.02,-0.03,4.09,54.2,0,12.33,-0.01,61608
ADVS,1381.42,47.05,20.07,3.14,3.85,4.44,8.15,0.58,0.01,0.05,0.1,1.18,0.31,0.08,0.01,1.43,53.37,-0.01,27.29,-0.02,86920
ADY,144.39,9.86,4.93,1.97,0.52,0.72,60.42,0.74,0.53,0.03,0.08,1.18,0.65,0.05,0,2.11,65.74,0,7.3,0,9903
AEGN,825.73,15.84,10.64,0.79,0.8,1.15,6.18,1.33,0.02,0.04,0.08,2.5,0.37,0.05,-0.02,1.8,41.66,0,21.07,-0.01,233545
AEIS,712.58,35.04,11.61,2.34,1.58,1.79,4.14,0.52,0,0.04,0.05,4.18,0,0.04,0.02,1.85,53.19,-0.01,18.22,0,315308
AEO,3650.56,14.36,11.15,1.22,1.05,2.99,5.79,1.32,0.01,0.14,0.2,2.62,0,0.08,0,1.41,47.09,0,18.96,0,1438877
AEP,24551.83,19.44,15.22,5.34,1.64,1.61,40.72,2.6,0,0.02,0.08,0.67,1.23,0.08,0.02,1.41,66.89,-0.01,50.54,0,2318019
AFAM,185.37,10.75,12.35,0.9,0.53,0.91,7.1,1.85,0.09,0.07,0.08,3.31,0.01,0.05,-0.01,1.43,44.73,0,19.89,-0.01,26317
AFCE,789.12,26.6,20.49,1.77,4.41,23.07,37.76,1.24,0.01,0.2,1.27,1.2,2.13,0.17,-0.04,2.16,39.86,-0.01,32.99,-0.02,155423
AFOP,132.3,14.28,13.77,0.57,2.84,2.17,3.98,1.08,0.16,0.13,0.16,4.73,0,0.21,0.11,2.21,83,0,15.42,0.01,30183
AG,1108.72,3.13,5.64,0.14,0.13,2.37,11.51,3.84,0.01,0.07,0.18,1.62,0.3,0.04,-0.11,2.25,37.81,0,12.02,-0.05,1320148
AGCO,4927.15,9.56,8.74,1.1,0.49,1.42,6.31,5.3,0.01,0.06,0.16,1.6,0.37,0.05,0.01,1.45,52.41,0,50.67,-0.01,633547
AGN,33335.33,31.28,20.58,2.36,5.74,5.76,11.25,3.58,0,0.12,0.2,4.07,0.27,0.19,-0.01,1.44,48.01,0,111.98,0.01,1057718
AGRO,910.54,106.43,10.8,96.75,1.43,0.89,4.16,0.07,0.27,0.01,0.01,1.68,0.35,0.01,0.01,1.58,49.83,0,7.45,0.01,165808
AGU,13619.38,9.53,9.29,1.56,0.82,1.97,18.76,9.56,0.08,0.1,0.22,1.54,0.57,0.09,-0.03,1.57,36.46,0,91.13,-0.01,503894
AH,977.56,59.12,21.38,2.3,1,3.85,4.98,0.17,0.03,0.04,0.07,2.24,0,0.02,0.05,1.83,58.69,0,10.05,0,427414
AHGP,3338.99,17.01,15.32,1.21,1.64,7.76,107.33,3.28,0.01,0.18,0.47,1.36,1.88,0.16,0.06,1.56,74,0.03,55.78,0.01,12799
AHS,618.06,40.85,19.54,2.92,0.65,3.39,108.81,0.33,0.01,0.03,0.09,1.86,0.87,0.02,-0.06,2.92,41.39,-0.01,13.48,-0.02,190793
AIMC,691.33,28.24,12.12,1.88,0.94,2.96,8.12,0.91,0.03,0.04,0.11,3.06,1.07,0.03,-0.01,1.95,49.03,0.01,25.7,0,168461
AIR,697.13,10.45,8.82,0.99,0.32,0.76,14.71,1.68,0.03,0.03,0.07,2.97,0.78,0.03,0.01,2.06,50.52,0,17.56,-0.03,331034
AIRM,1415.77,15.26,12.36,0.88,1.66,4.72,370.62,2.39,0.12,0.09,0.32,2.14,2.16,0.11,-0.18,1.99,21.48,0,36.47,0,573490
AIT,1779.57,15.26,13.29,1.23,0.73,2.46,34.32,2.77,0.02,0.12,0.17,2.73,0.05,0.05,-0.01,1.35,46.54,0,42.26,-0.01,123081
AJG,5351.8,26.58,16.91,2.04,2.12,3.2,17.72,1.59,0.01,0.04,0.13,1.03,0.51,0.08,0.01,1.31,69.33,0,42.27,0,428982
AKAM,7603.75,33.29,19.73,2.48,5.35,3.18,14.82,1.28,0.01,0.09,0.1,3.92,0,0.16,0.21,1.69,78.96,-0.01,42.61,0,5640283
AKRX,1410.17,45.94,17.71,1.99,5.51,7.03,34.58,0.32,0,0.1,0.2,3.67,0.52,0.14,0.05,1.51,62.12,0,14.7,-0.02,303144
ALB,5170.26,18.34,10.66,2.01,1.93,2.88,11.89,3.21,0,0.08,0.16,3.23,0.39,0.1,-0.03,1.34,39.86,0,58.86,-0.01,609304
ALE,2007.18,19.56,16.54,3.26,2.09,1.65,24.84,2.57,0,0.03,0.09,0.96,0.85,0.1,0.02,1.39,62.45,0,50.28,-0.01,155430
ALEX,1448.59,81.98,62.24,7.81,4.88,1.58,1316.9,0.41,0.01,0.01,0.02,0.91,0.26,0.06,0.11,1.86,63.26,0,33.61,0,71152
ALG,478.7,16.52,12.92,1.5,0.76,1.53,9.91,2.4,0.02,0.07,0.1,3.93,0,0.05,0.02,1.51,57.88,0,39.66,0,12766
ALJ,1041.83,15.74,11.58,1.53,0.13,1.75,8.96,1.06,0.63,0.04,0.17,1.21,1,0.01,-0.02,2.84,44.17,-0.01,16.68,-0.04,357207
ALK,4283.81,13.94,9.39,0.97,0.9,3,3.39,4.35,0.01,0.06,0.23,1.15,0.65,0.07,0.01,2.06,55.17,0,60.66,0.01,673202
ALOG,969.04,29.54,22.68,1.97,1.83,2.08,5.53,2.68,0.01,0.06,0.07,4.91,0,0.06,0,1.43,52.77,0,79.17,-0.02,27280
ALTR,9987.12,18.14,17.24,1.42,5.6,2.99,3.24,1.72,0,0.12,0.18,6.78,0.15,0.31,-0.05,1.31,37,-0.04,31.2,-0.05,7845541
ALV,7179.35,14.78,12.09,4.35,0.87,1.91,7.34,5.08,0,0.08,0.14,1.78,0.17,0.06,0.1,1.42,71.46,0.06,75.09,0.06,2031336
ALXN,19361.37,77.61,30.47,3.17,17.07,9.82,19.57,1.28,0.01,0.13,0.16,4.15,0.08,0.22,0.03,1.47,60.03,0,99.34,0.01,1490811
AMAP,510.68,15.1,10.97,0.78,3.39,1.7,2.52,0.69,0.01,0.12,0.13,5.85,0,0.25,-0.02,1.44,45.36,0,10.42,-0.02,109883
AME,9869.06,21.56,17.55,1.44,2.96,3.89,62.47,1.88,0.01,0.1,0.2,1.32,0.57,0.14,-0.01,1.46,44.27,-0.01,40.54,-0.01,1157025
AMG,7859.13,46.42,13.88,3.4,4.35,3.87,14.05,3.22,0.01,0.07,0.09,2.43,0.78,0.23,0,1.66,51.03,0,149.47,-0.01,349167
AMGN,81285,18.34,13.09,1.94,4.66,4.17,3.82,5.91,0,0.09,0.24,5.58,1.23,0.26,0.01,1.72,55.73,0,108.38,0,2933600
AMKR,646.46,17.58,5.15,1.76,0.23,0.98,1.57,0.24,0.62,0.01,0.06,1.67,2.35,0.02,0.11,1.66,66.59,0.09,4.22,0.09,3451381
AMRC,344.51,19,12.26,1.27,0.55,0.79,5.44,0.4,0.09,0.03,0.07,2,0.82,0.03,0.05,1.99,55.44,0,7.6,0.01,85692
AMSG,1060.36,16.29,13.62,1.09,1.11,1.52,25,2.04,0.03,0.13,0.1,2.48,0.89,0.24,0.01,1.38,53.63,-0.01,33.24,-0.03,156542
AMSWA,221.38,20.85,21.97,2.45,2.15,2.79,4.25,0.39,0.01,0.1,0.14,2.86,0,0.1,-0.01,1.28,45.95,-0.01,8.13,-0.03,43861
AMT,32823.76,51.86,32.79,2.44,11.41,9.18,87.61,1.6,0,0.05,0.19,1.31,2.45,0.21,0.04,1.37,65.05,0,82.97,-0.01,1527809
AN,5412.53,16.83,13.56,0.88,0.34,3.03,116.9,2.65,0.23,0.05,0.2,1.04,1.49,0.02,0.03,1.47,56.3,0,44.61,-0.01,434924
ANDE,1006.08,12.73,10.77,1.06,0.19,1.69,7.28,4.23,0.04,0.04,0.14,1.31,0.78,0.01,0.02,1.58,60.92,0,53.83,0,70549
ANEN,307.26,21.4,15.55,1.43,1.99,1.69,8.55,1.09,0.05,0.07,0.08,7.55,0,0.09,0.11,1.41,77.29,-0.02,23.33,-0.01,39064
ANF,3784.21,16.64,11.89,0.87,0.84,2.09,5.88,2.91,0.01,0.08,0.13,1.89,0.04,0.05,0.02,1.88,56.3,0,48.41,0.01,1075580
ANIK,172.62,15.04,9.94,0.5,2.42,1.51,3.92,0.82,0.04,0.09,0.12,5.35,0.09,0.16,-0.08,1.94,42.91,0,12.33,-0.02,63965
ANN,1375.77,13.89,10.96,1.19,0.58,3.53,8.24,2.1,0.02,0.11,0.27,1.5,0,0.04,0.01,1.66,53.86,0,29.16,-0.01,493317
ANSS,7251.03,36.45,22.81,2.14,9.09,3.73,12.56,2.14,0.01,0.08,0.11,1.91,0.03,0.26,0.01,1.47,53.79,0,78.01,0,220340
ANW,292.59,14.6,6.16,0.55,0.04,0.58,3.79,0.43,0.32,0.02,0.04,1.07,1.3,0,0.02,1.85,50.05,0.01,6.28,0.01,71737
AOL,3014.28,3.55,21.81,0.13,1.38,1.4,6.46,11.01,0.01,0.37,0.49,1.74,0.05,0.48,0.01,1.96,56.15,0,39.04,-0.01,504123
AON,18237.49,19.73,11.2,2.19,1.58,2.36,32.51,2.99,0,0.03,0.13,1.09,0.54,0.09,-0.03,1.41,38.63,0,59,-0.04,3263841
AOS,3615.57,22.91,18.18,1,1.83,2.84,8.01,3.31,0.01,0.07,0.13,2.32,0.19,0.08,0.08,1.77,68.43,0,75.83,0.01,480845
APA,28318.28,14.84,7.34,2.3,1.66,0.9,176.99,4.87,0,0.04,0.07,0.9,0.39,0.12,-0.02,1.43,46.92,0,72.27,0,2107150
APC,42607.49,17.69,16.37,1.65,3.18,2.03,17.24,4.74,0,0.05,0.12,1.7,0.64,0.18,0,1.59,52.17,0,83.84,0,3002934
APD,17830.96,17.22,13.89,1.82,1.78,2.79,44.4,4.97,0,0.07,0.17,1.05,0.94,0.11,0,1.21,49.08,0,85.59,0,581317
APEI,600.22,14.47,11.92,1.02,1.91,3.5,5.22,2.33,0.03,0.19,0.28,2.56,0,0.14,0,1.69,44.46,0,33.72,0,145170
APH,11865.71,20.87,17.4,1.54,2.7,4.74,11.61,3.56,0,0.12,0.24,3.34,0.67,0.13,0.01,1.5,55.87,0,74.3,-0.01,366477
APL,2696.1,38.09,14.49,3.81,2.16,1.5,792.97,0.94,0,0.03,0.04,0.87,0.77,0.05,0.02,1.41,59.61,0,35.8,-0.01,542222
APOL,2019.1,6.62,8.08,0.56,0.5,1.95,2.37,2.71,0,0.13,0.31,1.45,0.09,0.08,0.03,2.4,54.99,0.01,17.93,-0.01,1414259
APU,4085.01,43.57,15.77,10.89,1.31,2.8,34.73,1.01,0,0.02,0.05,0.89,1.71,0.02,-0.01,1.31,47.4,0,44.01,-0.01,132633
ARB,1249.42,22.09,16.42,1.84,2.78,8.09,18.8,2.11,0.01,0.22,0.41,1.64,0,0.13,0,1.47,39.61,0,46.62,0,165665
AREX,886.72,108.71,30.04,5.44,6.88,1.19,1151.58,0.21,0.06,0.01,0.01,0.26,0.17,0.05,-0.04,1.71,40.83,-0.01,22.83,-0.03,623869
ARG,7341.46,22.23,18.07,1.74,1.49,4.03,110.22,4.35,0,0.06,0.2,1.27,1.28,0.07,0,1.38,47.3,0,96.7,-0.01,290254
ARII,762.62,10.92,8.57,0.73,1.05,2.06,13.62,3.27,0,0.1,0.2,2.67,0.39,0.1,-0.13,2.35,32.92,0,35.72,0,367375
ARLP,2535.46,11.21,10.57,7.89,1.25,3.59,89.66,6.12,0.02,0.18,0.24,1.35,1.15,0.17,0.05,1.33,74.36,0,68.6,0.02,131649
ARO,1088.93,32.33,19.04,3.39,0.46,2.65,4.7,0.43,0.02,0.05,0.09,2.16,0,0.01,0.04,1.96,57.86,0,13.9,-0.01,1653363
ARRS,1876.49,58.54,7.8,5.85,1.34,1.95,3.08,0.28,0.03,0.02,0.04,2.34,0.24,0.02,-0.02,1.54,42.82,0,16.39,0,1253025
ARTC,966.57,27.44,22.27,2.29,2.62,2.16,4.42,1.25,0.01,0.09,0.11,6.28,0,0.13,0,1.53,50,0,34.3,-0.01,47752
ARTNA,198.99,20.19,17.97,5.05,2.82,1.68,320.95,1.13,0.02,0.03,0.09,0.54,1.01,0.14,0.03,1.35,61.27,0,22.82,0,17520
ARUN,2541.08,371.67,21.65,19.79,4.45,5.07,6.32,0.06,0.01,0.01,0.02,3.4,0,0.01,-0.03,2.17,40.62,-0.01,22.3,0,1335646
ARW,3957.47,8.24,7.67,1.23,0.19,1,9.66,4.57,0.01,0.05,0.13,1.57,0.49,0.02,-0.03,1.4,41.82,-0.01,37.64,-0.02,395961
ASEI,502.25,29.17,23.67,1.94,2.73,2.3,3.3,2.11,0,0.06,0.08,4.02,0.02,0.1,0.01,1.54,54.27,-0.01,61.55,-0.01,33537
ASGN,1290.05,27.86,18.23,1.46,1.04,2.29,46.95,0.87,0.02,0.06,0.11,2.47,0.8,0.03,0.02,1.8,56.79,0,24.24,0,473865
ASH,6783.59,182.74,10.53,14.47,0.84,1.65,14.49,0.47,0,0,0.01,1.72,0.84,0.01,0.06,1.54,63.56,0,85.89,-0.01,1006407
ASNA,2925.69,20.72,11.97,1.38,0.71,1.98,8.98,0.89,0.13,0.06,0.11,1.76,0.19,0.04,0.01,1.39,55.81,0,18.44,-0.01,522029
ASPS,1890.33,18.41,10.21,0.92,3.33,12.06,17.92,4.43,0,0.35,0.69,2.85,1.28,0.2,0.1,2.49,66.28,-0.01,81.55,0.02,495594
ASTE,740.64,21.79,14,1.58,0.81,1.32,10.12,1.49,0.11,0.05,0.06,3.27,0,0.04,-0.03,1.42,41.96,-0.01,32.47,-0.01,59686
ATAI,93.64,19.43,17.74,0.78,1.54,1.5,1.96,0.21,0.08,0.07,0.08,3.81,0,0.09,0.02,2.35,56.9,0.03,4.08,0.03,1000
ATHN,3489.5,190.06,59.77,6.84,8.26,11.08,18.07,0.5,0.02,0.05,0.07,4.1,0,0.04,0.01,1.77,53.11,0,95.03,0.02,321906
ATI,2842.86,26.2,10.84,2.18,0.59,1.15,20.6,1.01,0.01,0.02,0.04,3.01,0.59,0.02,-0.09,1.72,29,0,26.46,-0.03,2375453
ATMI,698.63,15.19,13.42,1.27,1.69,1.37,4.89,1.44,0.02,0.08,0.1,4.76,0,0.11,0.01,1.33,52.52,-0.01,21.88,0,176575
